  Registered nvfp4_bench::_scaled_mm
Total configurations to benchmark: 502
Unique M values: 251
Saved: benchmark_figures_deepseek/benchmark_m92560_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m96208_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m103928_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m79752_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m82664_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m74160_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m129936_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m96752_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m101568_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m89232_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m116168_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m126488_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m114664_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m95600_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m91880_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101568_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m88104_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m104800_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81256_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m103112_n1408.png

=== Generating Summary Heatmap ===
Saved: benchmark_figures_deepseek/summary_heatmap.png

All figures saved to: benchmark_figures_deepseek/
